(1.7147759089273102, -27): (0, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 0) (1, 1) (0, 0) (1, 0) (0, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) 
(1.4209932129414606, -26): (0, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 1) (1, 1) (1, 0) (0, 0) (0, 1) (1, 1) (0, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 1) 
(1.6515924082790034, -27): (0, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 1) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.054847124093618, -33): (0, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.6142634115397758, -31): (0, 0) (1, 0) (1, 1) (1, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (1, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(-1.0564695766283645, -28): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(-1.043838840912561, -30): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (0, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.5906047917054107, -23): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.5630079337592004, -28): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.7199810049208073, -24): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
(1.1460909936547239, -27): (0, 0) (1, 0) (0, 1) (0, 0) (0, 1) (0, 0) (1, 1) (0, 1) (1, 0) (1, 0) (0, 0) (1, 0) (0, 0) (1, 0) (0, 0) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 0) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 0) (0, 1) (1, 1) (1, 0) (1, 1) (0, 0) (1, 0) (1, 0) (1, 1) (0, 1) (0, 0) (1, 0) (0, 0) (1, 1) (1, 0) (1, 0) (0, 0) (0, 0) (1, 0) (1, 0) (1, 1) (0, 0) (1, 1) (1, 0) (1, 0) (1, 0) (1, 1) (1, 1) (0, 1) (1, 1) (0, 0) (1, 1) (1, 1) (1, 1) (0, 1) (0, 0) (0, 1) 
